Typography items
Block list
Blockquote
Citation (usually with blockquote)
Code
Code comment
Definition
Definition list
Drop capitals
Emphasis or italic
"Emphasis styles (muted, error, success)"
Font stacks
Heading 1
Heading 2
Heading 3
Heading 4
Heading 5
Heading 6
Heading with divider or rule
Headings with imagery or iconography
Inline badges/counters (numeric)
Inline badges/states (text)
"Inline, inline-block or horizontal list"
Insertion
Keyboard or user input (kbd)
Lead/intro copy or paragraph
Legal terms list
Link
List of links
List with dividers
List with images
Margin notes
Mark or highlight
Ordered list
Paragraph
Preformatted
Preformatted with line numbers and/or syntax highlighting
Pull quote
Sample output
Secondary paragraph
Single-line truncation
Small heading segments (inline in larger heading)
Small print
Strong or bold
Subheading 1
Subheading 2
Subheading 3
Subheading 4
Subheading 5
Subheading 6
Subscript and superscript
Tertiary paragraph
Text selection styles
Text style classes
Time or date
Unarticulated non-textual annotation (u)
Unordered list
Unordered list with no bullet (indent-only)
Unstyled list
Variable
White space characters
